GeneSym,EntrezID,A2.A0CM,A2.A0D2,A2.A0EQ,A2.A0EV,A2.A0EX,A2.A0EY,A2.A0SW,A2.A0SX,A2.A0T3,A2.A0T6,A2.A0YC,A2.A0YD,A2.A0YF,A2.A0YG,A2.A0YM,A7.A0CE,A7.A0CJ,A7.A13F,A8.A06N,A8.A06Z,A8.A076,A8.A079,A8.A08Z,A8.A09G,AN.A04A,AN.A0AJ,AN.A0AL,AN.A0AM,AN.A0FK,AN.A0FL,AO.A03O,AO.A0J6,AO.A0J9,AO.A0JC,AO.A0JE,AO.A0JJ,AO.A0JL,AO.A0JM,AO.A126,AO.A12B,AO.A12D,AO.A12E,AO.A12F,AR.A0TR,AR.A0TT,AR.A0TV,AR.A0TX,AR.A0U4,AR.A1AP,AR.A1AS,AR.A1AV,AR.A1AW,BH.A0AV,BH.A0BV,BH.A0C1,BH.A0C7,BH.A0DD,BH.A0DG,BH.A0E1,BH.A0E9,BH.A18N,BH.A18Q,BH.A18U,C8.A12L,C8.A12T,C8.A12U,C8.A12V,C8.A12Z,C8.A130,C8.A131,C8.A134,C8.A135,C8.A138,D8.A142,E2.A154,E2.A158,E2.A15A
MELK,9833,28.6731,17.45979,13.32783,4.16594,1.240206,10.05309,9.624063,17.78188,24.16638,1.036543,3.184141,2.117671,8.639865,17.91949,32.82953,20.67653,4.134457,8.70956,2.571092,3.434502,8.900689,8.672481,4.680307,8.627546,2.97341,11.02931,17.60138,5.616777,4.392926,4.852623,9.573036,20.86362,4.139553,3.51778,3.142257,2.360581,5.074076,13.627,2.449989,2.110081,7.308275,4.705414,12.9136,0.8857745,9.005285,4.627085,6.049192,8.992481,3.427137,4.771206,3.487577,5.291507,18.07174,2.984881,4.936516,8.892836,14.67785,3.962214,8.36839,2.734737,1.998095,14.35786,11.22826,9.82692,5.55384,31.06828,7.044613,8.735414,6.763357,11.24325,40.5387,7.556579,13.83401,10.17361,7.614135,4.973409,7.292249
MIA,8190,2.70344,11.40177,0.04261782,0.3287387,1.220902,0.05159675,0.06355187,0.3346613,0.4550919,0.0542885,0.07442231,0.1905265,0.2352144,0.2322783,2.320448,6.482491,0.3758913,0.2095367,0.04191892,0.09986412,0.04203667,0.0801978,0,0.06326565,1.871277,0.01048175,45.00679,0.1640227,0.02599878,110.0729,0.2163092,15.47774,0.2573223,0.1385393,0.04006515,0.4174376,58.7948,0,0.03807397,0.1522946,0.1543364,0.8568672,67.24634,0.01075344,0.07996434,0.0131974,0.06088623,14.44186,0.7360738,0.1008484,0.03254764,0.08749767,8.193188,0.1001284,0.1849109,0.399974,0.0404666,0.8421558,0.6132918,2.122192,0.07883588,22.40025,0.04938414,0.05751193,0.238286,0.1279946,13.95956,0.0308191,0.2524573,0.4021087,8.388773,0.3271458,0.5969155,10.66551,0.1110381,17.86315,0.1646351
MKI67,4288,23.98816,22.47494,24.06152,5.412157,1.688564,9.201586,14.33769,30.72712,12.39031,1.628436,4.976337,4.429098,12.28186,18.29049,36.44721,16.17776,3.145745,15.30422,2.94332,8.836076,8.127995,28.36526,5.700476,13.58225,6.500247,12.31493,25.1671,7.818144,6.534559,5.247979,17.55857,14.96473,5.396188,6.703474,7.852857,7.646466,6.14372,12.4281,2.854518,3.431595,6.703773,10.02504,4.844087,2.387995,12.23893,12.38938,11.4416,22.56986,8.122539,5.390868,5.387424,20.06742,30.85073,7.114656,11.8425,32.27413,36.03736,9.665839,18.01174,4.162962,4.009494,12.20169,18.93643,14.39655,19.91349,9.332774,17.46572,17.1977,16.33352,8.205807,19.30171,14.53971,3.888119,4.633471,8.805349,4.721149,15.45312
MLPH,79083,0.2510168,0.7393948,16.44627,48.88545,42.58258,33.22247,36.87534,4.260439,50.0886,32.61868,60.31331,56.93705,101.1247,54.14298,1.331405,2.019158,39.36823,47.30901,139.7198,37.80113,45.62939,82.3493,26.62455,37.2564,43.57645,25.47007,11.61166,15.61018,35.79966,6.903125,31.49224,1.651339,57.56585,26.59633,16.61539,67.218,5.498092,32.79222,73.53222,66.3304,26.75181,54.58977,0.5297216,131.549,38.27062,34.91582,33.11709,0.4281748,54.23283,68.32299,66.96184,23.30074,0.3948579,37.31242,48.26327,42.87666,27.21524,40.91193,65.59944,96.95611,72.31756,2.995298,19.04311,9.11744,25.61441,91.71834,0.6709925,35.85856,19.31423,19.34869,1.665606,31.32622,28.33336,12.8628,46.42106,0.01447641,43.91602
MMP11,4320,7.52228,20.9174,9.14059,108.0862,47.56939,5.797497,39.68664,49.63561,56.16751,65.67153,113.4872,90.41649,8.721235,21.00193,15.85679,5.415648,36.35714,56.259,1.275735,8.19134,170.2271,27.39427,127.0903,6.035432,153.43,102.3715,90.6001,64.90397,48.15505,7.90477,9.557621,26.57127,56.72156,3.660883,128.9066,8.979811,5.770915,132.3781,58.45716,12.84173,117.9222,5.9149,2.884475,0.5960101,27.99832,3.963218,85.52519,2.001427,47.43569,173.7751,95.76536,4.805475,226.9381,47.55015,80.41498,44.57063,82.83301,122.4966,27.48083,8.100934,50.97397,8.198147,128.6352,40.45718,254.5669,8.158223,12.50656,62.91815,125.7179,40.3268,10.34887,51.69887,79.99109,113.0146,35.46642,3.797783,79.9496
MYBL2,4605,67.84729,179.7442,51.24436,11.52404,2.252254,40.81873,50.73165,31.74939,57.97406,1.310306,6.440158,5.166651,5.517695,54.01899,56.66005,22.56831,73.20322,63.94198,5.5115,8.741701,41.2451,47.96091,5.340597,24.5386,7.969589,42.9586,85.89994,48.71796,9.034131,19.79288,43.13711,33.81061,11.79615,25.47953,11.46993,5.975351,31.44329,27.88916,7.27057,4.676962,14.219,9.694518,100.25,1.439111,29.49096,21.25613,88.5789,42.49651,10.8838,17.86094,12.59356,19.60507,17.4746,6.206301,12.78121,18.34645,55.44772,6.954507,15.48418,7.000875,2.727072,30.60464,36.59285,61.81665,24.0371,76.39044,18.19945,23.48045,77.4547,75.91966,56.78942,21.88363,9.030028,66.16779,9.307045,12.1036,42.67951
MYC,4609,148.499,45.82309,14.46285,5.768706,61.38112,9.309869,6.213302,57.04526,63.29997,37.52152,17.64275,27.62012,31.06167,11.34666,118.886,48.28103,52.06552,34.50123,15.1619,10.9423,11.66275,37.89936,29.09914,3.770754,45.95966,36.6049,19.83564,14.75794,24.0175,22.27595,40.3294,84.73862,11.45609,25.61105,21.41329,15.9561,23.41985,18.42181,10.49991,20.77905,23.40482,47.68858,50.81231,1.873715,43.91926,73.87832,4.968511,95.67313,13.43329,24.35709,19.1303,64.48766,33.8853,23.68698,58.19861,64.97904,38.10371,20.12012,29.81575,37.85438,16.24301,88.10145,26.15253,34.38025,22.23684,17.35929,55.09763,23.34821,33.56765,14.6433,31.3259,70.70122,3.056393,12.07885,80.53473,116.8897,17.71065
NAT1,9,1.119867383,0.375011146,3.847586025,26.78699994,12.11487973,22.21500703,49.51894083,0.885548579,3.953504829,33.50116017,118.0568486,99.9315244,92.88637531,119.5722828,0.452431923,1.435258191,18.59055316,57.43588373,0.783354486,103.6788147,36.17618876,46.91293377,7.414815428,1.501707094,35.37766088,5.941006674,2.156136061,1.804884708,211.9435674,1.240570336,27.42319943,1.140940197,28.16095831,14.69978223,6.211784347,29.33757603,1.826227074,39.46667862,3.270195116,6.231078169,2.128166105,111.2168017,0.568035143,152.0652532,21.32867118,4.43272686,3.829436494,5.949820793,21.45770844,16.44521411,168.2144012,19.54438758,0.378218536,13.31815851,63.59945464,82.60298131,162.2418799,20.42814594,209.2675748,63.48009985,12.74748892,1.455499961,1658.403688,4.699058819,51.8047955,38.8088354,3.151020755,4.611230713,28.08453206,1.979807091,0.803560004,1.958668871,23.91923244,1.227420119,161.224607,0.73086133,36.93757056
ORC6,23594,4.893096,5.266876,3.5682,1.354509,0.1891347,1.190593,4.322441,2.35105,5.671931,0.2530053,0.4279153,0.2846844,1.080096,2.142075,3.084391,2.469408,2.012555,2.612513,0.8702325,1.025,1.905005,1.369502,1.058455,1.215746,1.010762,3.765178,1.868426,2.018569,0.8615256,1.20288,2.980948,4.475612,0.9604153,1.849363,4.247656,0.7212806,3.461058,1.569076,0.8027019,0.4332248,0.976148,0.8694418,5.18135,0.6280671,2.19243,1.44976,1.057626,3.987334,0.732608,1.531036,1.513562,1.663749,1.062618,1.263988,0.5968873,2.104934,3.677912,1.212759,1.350965,0.6218994,0.4254588,4.426501,2.51819,8.18877,2.91412,5.204887,2.391833,0.6621852,3.703353,4.371375,4.70895,2.40304,1.26448,3.222087,1.176091,4.763873,3.594322
PGR,5241,0.05281235,0.2020375,0.03993924,31.95276,15.83508,0.1285772,3.603232,0.1853253,33.05696,12.69043,58.09922,24.63405,5.164007,0.2041395,0.04540281,0.4267139,46.79226,14.38597,0.05285519,7.183553,1.188106,9.060844,25.09283,0.05928933,1.732347,25.71472,0.20231,0.0922282,31.5933,1.072978,6.610175,0.00475468,3.108452,1.3075,0.1353968,14.019,0.07559764,0.498194,0.6044141,46.10461,0.2130096,9.686816,0.1494541,48.49789,0.1403394,15.94676,0.1929647,0.05832747,1.117633,17.25953,16.65593,8.99497,0.105309,19.45313,18.42955,0.6773629,59.87273,0.5950116,90.325,13.86102,94.2206,1.098854,5.671439,0.06982142,4.900866,0.258983,0.1150925,0.06301546,3.03039,0.1027734,0.1099515,0.1887647,0.1346955,0.2953509,68.5419,0.01116773,3.753998
PHGDH,26227,14.80162,52.04041,34.65033,3.120368,3.185813,3.018841,28.12506,38.50671,1.830576,1.44808,4.690319,3.308865,6.4994,17.44732,181.1041,90.35142,0.7813247,4.147301,0.1108413,19.19447,11.56378,55.63193,1.633858,17.49166,9.85411,7.118549,68.09741,14.63695,7.308737,81.28707,17.77248,37.06069,7.848561,2.385029,2.078523,13.10233,14.62818,4.552789,1.848644,7.619409,10.77153,5.740277,13.57933,12.511,4.532985,23.38974,24.07572,6.477745,9.60637,15.29797,0.8631357,6.000475,26.41498,1.987343,4.120235,16.16501,14.45767,2.818881,11.18817,8.90694,2.782468,25.78674,12.88339,32.42871,6.235696,21.13774,43.1799,18.54644,14.79012,39.66378,37.1074,19.14249,10.72068,23.75167,3.914734,29.2324,7.132683
PTTG1,9232,25.24268,38.03199,18.53375,11.46672,2.532723,5.999577,28.74571,13.3713,14.04196,1.681007,6.425702,3.162665,9.473399,14.12018,22.943,10.82035,15.62136,14.39703,3.81251,13.70369,8.11481,32.95938,4.634414,12.73882,5.856585,39.15772,14.12502,21.17251,8.985065,11.66708,19.68186,36.74307,16.18983,16.93176,12.09446,7.353453,42.04647,20.5944,14.0091,11.25651,8.088177,12.205,17.08367,2.500782,7.645688,10.08798,11.74566,11.83218,8.084761,9.483527,3.62645,10.72198,13.52021,6.708595,9.055619,17.49234,23.18177,7.900918,26.85824,2.662459,5.736756,18.38553,35.34153,14.05468,21.21984,27.18528,15.42013,11.26984,18.39385,14.23633,22.14935,14.34324,20.35794,7.64968,5.946154,4.739783,7.95296
RRM2,6241,25.44943,12.30911,19.74332,7.776249,2.895553,14.5597,26.78067,15.46613,8.538045,1.563,10.3412,5.737963,17.75483,36.63518,24.75109,15.75752,20.54169,25.46525,4.267077,11.23079,19.95993,13.58895,3.469428,23.34541,9.110531,22.18358,23.64463,23.21159,7.519424,2.433135,13.48265,21.40416,3.007859,9.900694,14.05149,6.552405,4.865025,21.10375,2.231091,8.112017,15.1865,10.88769,14.9733,2.012107,11.84362,17.87278,38.72521,11.01099,13.49523,10.11179,4.805253,15.60054,10.13323,4.25751,13.02864,39.66013,14.02544,9.740208,27.40031,5.341043,2.946091,12.76575,36.91939,30.27066,21.27323,49.46097,22.96992,25.80393,21.2814,14.87618,33.05687,34.04645,8.47858,9.188388,9.808758,6.908834,21.39415
SFRP1,6422,36.87162,89.23806,0.47858,6.683658,34.8249,1.985537,1.257609,28.38874,14.48518,12.49607,2.268412,14.52338,5.204285,7.058381,54.95855,141.4495,2.847064,3.225343,0.01607376,0.2074192,0.5382565,0.3985176,1.075201,1.802108,10.80182,0.07751341,56.07599,2.015613,0.4236911,299.83,2.99417,32.70627,18.37434,2.192367,1.689923,62.86094,144.8228,1.115802,0.5665966,0.3837529,2.510927,77.38942,186.3381,1.502094,1.747747,0.1626598,26.04831,158.0152,15.74309,0.3130446,1.325295,2.871796,164.5137,2.742437,4.686409,21.54923,0.2881705,30.98397,26.5011,73.98817,0.8205157,598.2209,0.3956333,0.8939294,0.2303458,0.1314627,194.9812,0.8061258,4.177877,39.70344,178.2589,30.59522,2.30654,38.52676,1.779128,102.1435,1.053226
SLC39A6,25800,25.94839,113.045,52.43423,198.8711,199.074,119.1417,141.3623,28.05164,375.8135,93.28344,900.3421,163.2539,3066.268,234.929,27.10758,103.1671,938.4928,823.522,157.0687,1469.342,122.018,696.7615,93.58658,72.06474,753.3886,70.04116,21.61861,93.0594,1268.739,16.15006,103.7436,43.10112,101.4376,22.02448,107.7487,971.8331,22.03297,158.7339,56.54782,540.3356,38.39798,825.5794,50.8081,809.4885,102.9708,344.5761,90.48344,66.61871,281.4466,167.9307,360.4621,43.9923,32.56137,1864.388,157.3526,1131.195,1076.365,265.2147,1077.436,1456.645,903.8729,88.49509,111.243,133.9054,60.17025,1412.828,38.51695,47.81207,43.55635,31.62574,51.40835,45.24876,14.38097,33.82678,282.5613,45.79941,791.0764
TMEM45B,120224,0.07417922,0.2943596,3.096604,6.182136,5.578848,3.717523,2.977301,0.4788457,0.5313955,14.92085,1.218293,5.134932,3.608154,1.12176,0.224796,0.6091045,2.279477,13.40153,5.384965,2.061395,1.52568,1.115419,4.003907,22.50287,4.433696,4.637344,2.599569,1.700533,2.811201,0.6084089,0.3297271,0.028049,1.575019,1.79707,4.959272,5.481847,0.2619181,4.072567,16.10117,1.121878,13.0513,7.069914,0.4231996,0.2084612,0.2342451,20.71156,11.42017,0.11686,4.953696,5.36539,1.621783,12.7968,0.9094809,0.825713,1.651569,0.3740271,0.4939234,4.434819,6.844616,0.6769844,13.12053,0.6375037,7.211945,7.804295,12.49928,0.682342,0.2809483,10.87349,1.104732,5.443238,0.2076085,20.21078,3.704277,3.617354,1.586496,0.1848094,1.073978
TYMS,7298,19.79956,109.1131,32.06922,5.827367,3.29952,5.338989,13.33663,15.04931,6.37951,2.665456,7.30797,4.70238,11.72132,8.54523,46.67486,14.91657,22.14202,20.53878,7.325187,6.20799,4.444076,35.85529,7.037401,7.932539,3.107331,12.32905,20.83299,7.256523,5.497132,5.342248,13.33472,17.71255,8.518898,10.53213,7.762712,9.796248,15.88428,16.79431,6.177581,9.133629,4.921368,5.907425,9.860214,2.219755,10.82418,23.83538,4.326581,32.70704,5.561288,11.97932,3.900551,11.47129,10.49317,7.113621,8.571122,13.56062,27.49514,3.993768,20.27003,7.35338,10.50911,38.62737,12.48179,17.58752,26.44011,17.25642,22.52731,3.465615,11.51128,16.37062,23.82975,6.712208,11.90691,7.108397,9.70176,3.806206,12.24904
UBE2C,11065,104.3607,113.6165,57.37424,13.3336,3.109716,24.26291,63.58755,46.32066,32.44805,1.783567,12.36531,9.22498,22.2226,34.06501,74.65197,40.59361,42.32259,75.82331,8.883681,19.99079,53.59035,127.4406,10.41648,23.04096,16.70214,122.5568,58.80936,80.62012,11.54685,28.70064,43.51306,47.91313,33.47438,16.03015,26.52874,16.35774,122.7512,52.75292,25.89235,15.44262,11.98764,31.90252,141.7116,4.546951,26.5792,49.9287,26.81918,60.40979,24.49774,16.94107,8.701844,18.79435,23.40401,17.02801,15.02493,45.32519,45.76548,18.87509,45.13663,7.831268,7.767438,42.34746,54.93268,56.14461,94.34599,100.276,21.6969,24.56287,69.97983,86.92638,85.79904,30.32266,90.5779,32.41657,15.57526,22.20948,58.34536
UBE2T,29089,46.59479,31.74328,45.3634,12.13728,4.573648,17.98929,43.30335,16.77104,29.00479,2.89816,12.48394,10.87683,23.27788,33.64956,47.68845,48.75318,38.8554,26.20328,11.35333,20.25688,25.40057,43.75299,13.31174,19.89516,7.406489,60.76894,19.41227,23.59101,24.59118,23.0151,50.48483,30.32867,21.45094,9.4427,26.57216,15.1851,130.1156,46.82614,6.650873,25.155,25.73792,22.79762,78.25623,9.058662,2.29108,25.09504,12.00253,25.76502,15.82209,30.99352,13.46989,26.64048,22.87636,15.76267,22.83695,46.05883,58.99496,22.52522,43.76307,14.09407,7.963534,35.38065,56.44556,44.43399,21.16122,59.12198,28.06249,27.60338,58.12933,35.56261,70.68911,28.53091,20.66192,28.15636,18.4221,17.74262,26.46476
