GeneSym,EntrezID,A2.A0CM,A2.A0D2,A2.A0EQ,A2.A0EV,A2.A0EX,A2.A0EY,A2.A0SW,A2.A0SX,A2.A0T3,A2.A0T6,A2.A0YC,A2.A0YD,A2.A0YF,A2.A0YG,A2.A0YM,A7.A0CE,A7.A0CJ,A7.A13F,A8.A06N,A8.A06Z,A8.A076,A8.A079,A8.A08Z,A8.A09G,AN.A04A,AN.A0AJ,AN.A0AL,AN.A0AM,AN.A0FK,AN.A0FL,AO.A03O,AO.A0J6,AO.A0J9,AO.A0JC,AO.A0JE,AO.A0JJ,AO.A0JL,AO.A0JM,AO.A126,AO.A12B,AO.A12D,AO.A12E,AO.A12F,AR.A0TR,AR.A0TT,AR.A0TV,AR.A0TX,AR.A0U4,AR.A1AP,AR.A1AS,AR.A1AV,AR.A1AW,BH.A0AV,BH.A0BV,BH.A0C1,BH.A0C7,BH.A0DD,BH.A0DG,BH.A0E1,BH.A0E9,BH.A18N,BH.A18Q,BH.A18U,C8.A12L,C8.A12T,C8.A12U,C8.A12V,C8.A12Z,C8.A130,C8.A131,C8.A134,C8.A135,C8.A138,D8.A142,E2.A154,E2.A158,E2.A15A
ORMDL3,94103,12.06486,12.26982,48.59731,37.38692,28.17196,40.15052,18.48157,14.43501,27.27536,23.80369,39.00491,18.89257,30.92928,248.0172,16.00201,14.12587,13.41072,22.21619,84.83141,58.64712,196.6218,22.64846,16.40192,93.42637,25.17114,22.25818,18.00143,13.41535,22.99617,33.67607,51.14405,21.61724,19.35827,33.40474,13.22833,26.87717,51.04506,173.2438,28.10149,32.52528,323.9438,39.42904,26.03769,40.0979,28.01934,42.31717,351.8463,13.23948,20.31787,17.59493,24.69757,45.17859,10.60314,30.882,21.36182,43.22877,98.89865,18.29814,21.03229,24.77374,57.00414,17.63301,258.3643,44.57858,42.43092,31.88966,22.46098,595.1954,43.91669,17.2325,12.88271,91.55341,72.20617,27.34623,25.40578,10.99188,29.44306
AR,367,0.128308856,0.42942683,5.13612123,9.569854348,17.2394923,88.91383894,12.82969672,0.855228505,16.09481615,29.53046313,17.09128756,11.96530454,29.15779642,33.3507617,0.074797356,0.596871897,14.06071157,17.29317542,7.218414702,23.56157932,38.5941958,19.06902634,14.63891157,52.90553351,7.890242837,18.41007352,0.444860406,12.20529117,62.72410188,2.902535595,29.08565828,0.04272513,8.818814595,3.401771049,34.49189395,23.78307503,1.143930532,25.11343947,21.83625308,9.826228738,37.17736278,15.25272247,5.479363943,22.72466987,6.327422306,1.339033558,18.90704003,0.168774967,14.84653118,31.1823638,32.02344949,12.81637145,0.644263607,28.85696735,37.22461193,25.10368217,15.03263974,14.49654194,21.24661482,19.27656484,26.8706809,2.103635297,6.212853729,33.44567084,21.42274315,17.9496358,0.40892938,4.514281132,24.98955398,9.197233885,0.281813229,93.46907373,7.947217745,0.75535033,53.86172178,0.096094841,9.943773621
PRTFDC1,56952,2.130676,8.664289,1.447603,1.316735,2.303012,0.7872215,0.827293,8.840125,0.7442975,2.279697,1.339355,2.633545,0.8188043,0.677639,13.68213,16.53078,1.052302,0.8759816,0.5538985,0.2935465,0.9826364,0.89805,2.122633,0.8029042,5.068052,0.8450926,5.654561,0.9244804,2.700256,1.279872,0.5217083,2.442503,2.947514,1.990905,1.989002,6.544218,10.36885,1.626132,2.487042,0.6054118,0.9159721,1.157062,8.414184,1.222227,1.074523,7.24879,1.118153,11.8541,1.16311,0.894025,0.8079006,1.322721,14.47248,1.26539,1.863559,2.255828,1.117752,1.812915,1.461362,2.158329,0.9710793,13.84137,0.8502385,0.4105596,1.310612,0.5374785,24.44755,0.4831546,1.346545,0.9351945,4.774596,1.198917,1.535565,1.403272,1.212313,8.607046,0.9744606
LINC00173,100287569,1.07649,0.1861329,0.1704438,1.149734,0.2386341,0.01629108,0.1203946,0.4377569,0.0907516,0.8981868,0.5505243,0.1955088,1.020353,0.1235187,0.3575636,0.4161643,1.132056,0.2999199,7.49654,1.213941,0.03981778,2.662378,2.200937,0.0799016,0.1992348,0.2316644,0.4234004,0.2140582,0.3611879,0.1930792,0.6094206,0.5638752,1.076517,1.963538,0.02530022,0.5782243,0.9338963,NA,5.513824,2.375412,0.06822191,1.311352,0.0443108,2.593991,0.8382277,3.175199,0.1076551,0.464958,1.632012,0.3927147,0.3631045,1.252396,0.0897991,0.1174249,0.01556893,0.5852333,0.3492343,0.137535,0.7745594,1.060218,1.227982,1.003348,2.073799,0.09987302,0.0354052,0.4041283,0.8236615,0.1362309,0.755152,NA,0.3559054,0.04695114,0.1731879,0.1155236,1.425732,0.007525127,0.1707968
NT5M,56953,1.568692,0.2761878,1.076899,1.731987,1.788024,0.3002136,0.7712429,1.41471,3.830545,1.407902,4.743814,1.480734,1.169673,0.6909936,5.227077,4.310641,4.691467,2.972479,1.878754,1.267254,0.5800246,2.201721,1.845997,1.304156,1.692877,0.5506311,2.06208,1.148867,3.129187,1.239278,0.8851597,2.579231,2.416941,1.433041,0.9946345,3.053404,2.698954,0.4925439,2.717458,6.835781,0.3899886,6.649764,2.193057,2.660055,3.349939,6.178187,0.8259415,1.580517,1.55541,1.318864,1.154299,1.861858,2.27675,3.14838,1.409937,1.745019,0.6727237,1.342083,4.941246,2.322207,5.093792,2.289213,1.970329,1.242915,1.463353,3.393848,2.054778,0.8812284,2.129371,1.275239,1.83045,0.7613938,1.351704,1.271246,4.196382,2.290098,1.345002
ACBD4,79777,1.046587,1.147467,1.250996,3.750734,2.815854,2.779666,1.552746,1.981227,3.412047,3.078411,6.248996,3.112984,2.284998,0.8528096,0.9355372,1.609681,1.737456,4.539459,8.871038,4.178672,0.9690031,2.971324,3.640475,0.5971813,0.9204947,1.4841,0.7332324,1.208393,2.540885,0.8346652,1.764069,2.907022,2.714038,5.99101,2.246053,3.929454,2.440128,0.6260224,6.977432,5.495995,1.103276,6.134033,1.668001,2.833464,3.026583,4.785456,0.8999295,0.8208141,1.869745,2.223117,2.708832,2.719472,0.7404109,3.32939,1.149425,3.547496,1.979748,1.218474,2.955259,3.121679,7.287252,2.34007,3.427908,1.082431,1.335993,2.099573,2.144952,0.6385823,5.437488,1.554206,1.576832,0.6624513,2.35109,1.901627,3.137962,1.847771,2.745281
CES3,23491,0.03639968,0.7894746,3.997699,1.449965,0.07681077,11.32958,5.083969,0.09158744,0.1645543,0.08893854,0.04775782,0.06607622,0.2837368,5.139439,0.2346962,1.687572,0.02674098,0.0369113,0.0221529,8.373665,0.5526012,0.666005,0.2262005,18.45557,0.1552365,1.041387,3.657771,3.493248,5.743144,5.755468,0.03517321,0.9536222,0.08499198,0.08948363,2.720761,1.188411,2.162312,0.2626769,0.4024191,0.3259567,9.885334,0.5327396,0.0278121,1.30422,2.298877,0.4916974,0.06113545,0.0819187,0.2722951,1.665481,1.992386,0.1348664,0.04046593,0.3779633,0.1009772,3.603674,1.104912,0.7903549,0.2864196,0.4010482,0.0312468,2.230918,0.1435392,20.68267,0.03703736,12.86454,0.2954166,1.706061,1.562373,2.496903,0.8568582,0.04715093,1.355591,0.3504626,0.2787314,5.585992,0.3511263
RND2,8153,0.03094976,2.135224,1.451153,1.897598,0.4876504,0.1043314,0.06663237,0.8521447,0.1327413,0.5529371,0.4777331,1.61593,0.5177399,0.06225768,1.490022,2.530595,1.199658,1.083821,7.265699,2.186335,0.07240775,3.246717,0.630119,0.078967,1.593703,0.1004784,0.07113614,1.261137,0.4595089,2.298572,0.6529679,0.6965995,1.104876,0.3919569,0.280048,1.484454,0.03445764,0.3795453,4.406353,2.221786,0.05548026,2.379632,1.089557,0.3607901,0.7761226,5.641587,0.0620136,0.03482674,2.332409,0.6747015,1.667264,0.3101648,0.766789,0.158544,0.590854,2.948682,2.77197,0.4436634,1.37149,1.062235,6.329182,0.6299653,0.2662864,0.1679776,0.08397857,0.01437845,0.3023529,0.1107874,1.337404,0.4447646,1.871882,0.1425468,2.687044,1.534476,0.5987332,4.501532,0.5108006
ST8SIA6-AS1,100128098,1.377004,4.25113,31.39645,0.1467731,0.178095,15.19838,8.852756,2.389492,0.5251953,0.3501098,0.1028473,0.2764613,0.03297634,24.92949,0.866378,1.251861,0.04661818,NA,0.01081351,21.82724,5.726924,0.2438231,0.2918121,17.06817,2.406579,17.23058,8.359819,4.040766,0.1425175,0.05633863,9.79713,0.3719138,0.1728633,1.082065,6.545692,0.4689431,15.40847,17.51092,1.285,0.5401863,12.30221,0.08451511,8.688598,0.2773985,1.052018,0.008511083,3.934443,9.147031,0.6751267,0.4444247,0.1329377,0.2069018,0.02821808,0.07379817,0.1669502,0.07549629,0.2348744,6.564157,0.6346646,0.8229012,0.313524,0.1808268,0.2945952,0.3987153,0.135593,0.1031806,1.772481,17.3115,4.33592,26.50074,0.02633871,20.62792,0.3537419,16.58804,0.5490032,0.03842578,0.1592613
TFCP2L1,29842,10.58733,9.958457,0.1719628,0.6227677,4.665461,4.237441,0.1989556,24.24823,1.294738,0.2311397,0.5443751,0.3379955,0.3841891,0.1496867,25.29757,21.87044,0.9394011,0.8862965,20.38112,5.760585,0.2719735,1.407571,0.6653149,0.3183624,0.6645374,0.2508462,9.498174,2.353685,0.5209077,12.09018,1.801178,5.30102,0.334164,0.9466688,0.1412227,1.689981,2.103448,0.1817111,4.407546,1.695195,0.6077151,3.631382,0.3303255,3.528066,0.6631136,9.054588,0.750582,1.818893,0.5029751,0.7273168,1.405378,1.475112,36.08372,0.4836272,1.752942,5.457921,11.31155,0.4666828,4.074112,5.272008,4.296213,30.24608,0.2164429,1.208315,0.1794249,0.2760379,9.711514,0.09648234,1.251608,0.09468214,7.027042,0.7345008,0.2581394,2.19542,1.33639,44.62351,4.561761
