Omics,GeneSym,GeneSym_Revised,EntrezID,A2.A0CM,A2.A0D2,A2.A0EQ,A2.A0EV,A2.A0EX,A2.A0EY,A2.A0SW,A2.A0SX,A2.A0T3,A2.A0T6,A2.A0YC,A2.A0YD,A2.A0YF,A2.A0YG,A2.A0YM,A7.A0CE,A7.A0CJ,A7.A13F,A8.A06N,A8.A06Z,A8.A076,A8.A079,A8.A08Z,A8.A09G,AN.A04A,AN.A0AJ,AN.A0AL,AN.A0AM,AN.A0FK,AN.A0FL,AO.A03O,AO.A0J6,AO.A0J9,AO.A0JC,AO.A0JE,AO.A0JJ,AO.A0JL,AO.A0JM,AO.A126,AO.A12B,AO.A12D,AO.A12E,AO.A12F,AR.A0TR,AR.A0TT,AR.A0TV,AR.A0TX,AR.A0U4,AR.A1AP,AR.A1AS,AR.A1AV,AR.A1AW,BH.A0AV,BH.A0BV,BH.A0C1,BH.A0C7,BH.A0DD,BH.A0DG,BH.A0E1,BH.A0E9,BH.A18N,BH.A18Q,BH.A18U,C8.A12L,C8.A12T,C8.A12U,C8.A12V,C8.A12Z,C8.A130,C8.A131,C8.A134,C8.A135,C8.A138,D8.A142,E2.A154,E2.A158,E2.A15A
RNA,EXO1,EXO1_R,10525.95371,0.625030326,2.048362669,0.34871895,-0.490394384,-2.75364718,-0.856504056,0.152380821,0.575844972,0.632811806,-2.724596811,-1.069914135,-1.658603953,-1.873974063,0.080037894,0.873389177,1.355813777,-0.010506077,1.100895231,-1.457473275,-0.748143263,0.002048126,0.615680201,-1.119890173,0.363189106,-0.656309348,1.731013052,0.818077473,0.315290627,-0.230230498,-0.596986482,0.73322973,0.413209192,-1.163246707,-1.721955385,0.292253254,-0.813412843,-1.634608074,0.390781427,-2.527215849,-1.684687614,-0.925645147,-0.13832028,1.369357273,-2.792588682,-1.298184922,0.128950557,-0.766818823,1.536562937,-0.808741525,0.187027391,-0.529869452,-0.201581539,-0.002048126,-1.304743086,0.162876612,0.233450095,1.57584568,-0.798408583,0.34618849,-0.893411031,-1.827422067,0.962491326,1.395872634,2.020043146,-0.473108268,0.420781028,-0.051891342,0.247702921,0.491195024,0.634751141,1.025842527,0.396163339,-1.418666891,0.17178616,-0.519162848,-0.181278526,-0.069289663
RNA,FGFR4,FGFR4_R,1319.483187,-0.728280906,-1.015409158,2.570468204,-0.764971298,-0.375383227,0.836414773,0.848066317,-0.562294152,-0.79415585,0.451990411,-0.978721262,-1.108675954,0.025368243,0.409655067,-0.017718456,0.281000586,0.049518468,0.637548452,2.332349176,-1.031093697,1.440574099,-0.298059002,-0.96774725,2.949860142,-0.545967347,0.5899151,-0.805360322,1.235635291,-0.33203765,-0.056297876,2.222909579,-0.417612625,-0.753092086,-0.77466108,1.132200993,-1.143656825,0.476218954,0.017718456,0.558420338,-1.023742574,1.208246238,-0.093258579,0.4536714,-0.648174459,0.969057186,-0.329539901,2.132777715,0.100969898,-0.789865867,-0.762870437,-1.063506173,1.244279751,-0.787325237,-1.051212334,0.332284564,-0.896508858,-0.652051948,0.326791454,-0.937374113,0.215980122,-1.028508244,-0.201013235,-0.479391436,-0.110079768,1.642431837,0.408623189,0.278854111,0.670779498,0.884417909,-0.380130631,0.224275167,2.462061658,1.033466121,0.820491486,-0.717228949,-0.486205068,0.125807576
RNA,FOXA1,FOXA1_R,5523.293847,-10.45223023,-9.901010569,-0.149043442,0.205077439,0.005057185,0.452492713,-0.218410547,-7.14937016,-0.034338457,0.28269404,1.437589399,0.141126058,1.717737856,0.659973425,-10.85813524,-8.022755168,1.471155524,-0.234973764,2.799487496,0.875500043,0.413406807,0.161478144,-0.409949549,0.628753306,-0.299030962,0.378743349,-5.92131752,-1.003545704,1.695383524,-6.756184705,0.746863655,-11.13895736,-0.725699668,-3.642421441,-1.374334581,0.90871388,-8.853478565,0.734509338,-0.718098855,1.872208243,-0.387576272,0.609389155,-9.132000807,2.426408686,-0.005057185,-0.42584861,0.724852761,-2.730802094,0.094957014,0.710233546,1.395928079,-0.51214616,-10.39412812,1.117536801,1.328694501,0.5645096,0.53785623,-0.11721246,0.800218246,0.540900494,0.754748265,-6.371423309,0.037464517,-1.411986075,-0.351598346,-0.026130644,-10.69469019,0.511749263,-0.321204958,-1.681393919,-11.29573977,0.107889111,0.052624241,-2.594796843,1.831730145,-9.695239583,-0.062802033
RNA,FOXC1,FOXC1_R,2127.598644,4.112352438,2.619800522,-0.723724288,-0.374669732,0.352761391,-0.382557054,-0.502558749,3.867985724,0.682179171,0.132083523,-0.796445203,0.92931436,-0.343643807,-0.578260978,3.751684099,3.784291545,-0.558039928,-0.279504671,-1.447356632,-1.466285699,-0.281341997,-1.191205438,-0.361901556,-1.040742738,0.804547137,-0.757648705,4.577069607,1.108174289,0.717751849,4.751948606,-0.90956211,2.728931378,0.59063725,-0.160873826,0.114815851,0.919860662,3.920590751,0.193872621,-0.146227515,-0.589334218,-0.098976037,1.038113927,3.586781716,-1.189810486,-0.512178506,-0.821694458,-0.459893437,2.006580996,-0.622876763,-0.560968472,-0.632722515,-0.650548418,3.111639793,-0.231089331,0.257033925,0.073527841,-1.092603399,0.253053036,0.829688311,0.859518337,-0.707901431,3.423279157,-0.789431146,1.211305987,-0.510129067,-1.157704931,2.044404905,-0.3776459,-0.073527841,0.920791705,2.51371998,0.286402306,0.257683693,4.413550654,-0.698319182,4.341542705,-0.148742568
RNA,GPR160,GPR160_R,32714.63795,-3.620123306,-3.87373847,0.399699753,0.359405271,0.655095247,0.509971383,1.041211796,-1.895801034,-0.314168463,0.018257639,-0.434115773,-0.306504907,1.34131092,2.010509698,-3.0940988,-1.993514246,0.543564815,0.624233547,0.767714075,0.369617084,1.320430891,-0.486876811,-1.210890352,1.451752912,-0.576037655,0.871124482,0.735958464,-2.100130554,-0.051403644,1.859847452,-0.633091886,-2.085950106,-1.070857919,-0.745414529,-2.164794891,0.866747028,-4.148636354,0.180231786,0.235913523,1.514540831,0.972397172,0.288471826,-3.769680561,0.844378655,-0.329334218,0.42916909,0.619498284,-2.625279142,-2.212054219,-0.088665913,-0.056075648,-0.226255301,-3.072326751,-0.016692203,0.016692203,1.120769352,0.263098214,0.101441711,-0.56813581,0.461584306,-0.284803297,-2.921192077,0.666200311,-0.337446434,0.182226406,0.688442717,-2.165283579,0.883658371,-0.505794973,-2.680039844,-3.710019125,-1.275892048,1.274336932,-3.992168564,0.252766505,0.426408001,-1.342886321
RNA,GRB7,GRB7_R,4438.279589,-0.182632537,0.273617764,0.073959465,0.197785921,-0.13392669,4.571502456,-3.012111836,0.383449134,-0.307626693,-0.519482728,0.211661924,-0.45341824,-0.242228924,5.127166404,0.889333978,-0.209069177,-1.558251439,0.420878824,1.708007581,-0.197410286,4.345642189,-0.757865459,-0.931676268,3.368286076,-1.684322157,-0.655999437,-2.017852518,-3.164952909,0.076345699,-1.070268697,-0.610900447,0.339001489,-2.699503716,-3.944681127,1.522042095,-1.041533757,2.44449336,3.848282056,-0.771991636,-1.194021205,6.615915083,0.110552454,0.139839873,-0.455068646,-0.723507533,-0.642965068,5.82757184,-2.513684192,0.030095287,-0.060269059,-0.680570436,-0.497134396,0.447600986,-0.340096456,0.117666998,0.055882761,3.453809437,-0.842852663,-0.585274688,0.171714571,0.633896815,1.224421975,4.960779981,2.671131796,2.188411894,-0.98179487,-1.892314425,6.825256786,0.443494174,-0.053621833,-1.909985395,5.168182631,2.277764504,1.222466846,-0.030095287,0.316829408,-0.349207163
RNA,KIF2C,KIF2C_R,11359.07452,1.360385535,2.45199547,0.684880816,-0.559203951,-2.208446559,-0.686527872,0.916621473,0.883889359,0.624084861,-2.633154409,-0.736503197,-1.589549416,-1.150945098,0.321381112,1.120214443,0.895373921,0.286114454,0.629466905,-0.890504143,0.250571948,0.021348071,1.95165497,-0.892969137,-0.228812008,-1.26805655,0.719969534,0.957123848,0.126510749,-1.738659055,-0.252097741,0.351259826,1.299440425,-1.59333924,-0.734001971,-0.239293531,-0.744869796,-0.34586793,0.506439172,-1.129789682,-1.09223719,-0.791667851,-0.146207677,1.402606239,-1.949754339,-0.120080957,0.794388272,-0.236156526,0.522737717,-0.321708253,-0.408850417,-1.394843891,-0.238654355,0.624790395,-1.106758132,-1.076020343,0.440697167,1.499288487,-0.784786206,0.624019213,-2.307472687,-1.463698284,0.667274019,0.75345248,0.411913882,0.634360242,0.904578004,0.713342854,-0.689718411,0.71883137,1.077126282,2.164545055,0.218601136,-1.033305358,-0.642977409,-1.195201821,-0.021348071,0.426373167
RNA,NDC80,NDC80_R,11732.57372,1.955987565,2.740441669,0.407211584,-1.301490379,-1.584978825,-1.093712927,0.519738107,0.269786027,1.052840084,-2.389379234,-0.888564111,-1.221146437,0.092338392,1.118992281,2.654145361,1.282727319,-1.216896332,0.059261602,-1.468153389,0.119529487,-0.491025335,0.846994912,-0.533852519,-0.582910504,-0.282146826,0.580046374,1.419151612,-0.582839326,-0.588927638,-0.374753764,0.141710116,1.021335821,-0.500142169,0.095162166,-0.273886537,-0.5890271,1.808709877,0.593521245,-0.391830547,-0.386147347,-0.030892808,-1.110107602,0.707672261,-1.724371469,0.095727928,1.236041778,-0.681746329,-0.087180494,-1.260343966,-0.523008886,-1.594064968,0.030892808,0.521417841,-0.86562346,-0.142370239,0.465605301,1.594895103,-1.300126492,1.148278223,-1.282574996,-1.093588128,0.978852328,1.567834984,1.010441269,0.609380171,1.36120055,0.914581147,-0.644165493,0.612278697,1.225644432,1.189795849,-0.74517672,0.55369025,-0.736196273,-1.335736829,-0.596203017,-0.062971154
RNA,KRT14,KRT14_R,1495.232876,2.045159495,0.088474421,-1.302358167,0.244523636,1.270648686,-1.114843858,-1.507653083,0.35674659,0.607866178,-0.892210059,-0.753841674,0.49397883,-0.094001809,0.117199353,0.477578691,0.427968459,0.261770147,0.202478402,-1.54964602,-1.35881824,-1.332601874,-0.390454619,-1.153144242,-0.376154318,1.343890702,-1.418966344,0.417375015,0.345846229,-1.55724912,0.454155065,-0.530629531,-0.553961576,0.516097865,0.262482209,0.044766739,0.926048116,-0.243421253,-1.25012251,-1.489735128,-1.55584607,0.001764801,1.424501882,0.875171598,-1.465084222,-1.535637339,-1.532729177,-1.013307548,-1.01659374,0.812504047,-0.471666588,-1.545068507,-0.678605394,0.150940816,-0.059918321,-0.159531889,0.290369558,-1.500445893,0.677592232,0.807389327,1.915508047,-0.584791585,1.389861462,-1.231053202,0.18919213,0.571972047,-0.727531319,0.771514144,-1.50047098,-0.001764801,-1.033067998,0.4266885,0.595219165,1.244249503,1.057404055,-0.287975484,1.211109181,-0.395894017
RNA,KRT17,KRT17_R,1208.89607,0.941655016,1.335738246,-0.961813262,-0.007748525,0.616826001,-0.812303761,-1.073602686,1.513527172,0.263546822,-0.662844715,-0.453236325,0.239033625,-0.106165893,0.007748525,1.685323465,2.191406767,0.410641391,-0.122798531,-1.142080003,-1.075867484,-0.917448126,-0.205520885,-0.562375197,-0.613414602,1.397232177,-0.915883471,0.686050557,-0.176635976,-1.129421435,-0.110137501,-0.4864695,1.021822134,0.14353187,0.807351403,0.614199627,0.3997103,-0.172775602,-0.670274803,-1.168189164,-1.189194093,0.196080097,1.108533775,1.516016631,-1.257997273,-1.155847699,-1.215354752,-0.880029078,-0.784729165,0.232461097,-0.212595615,-1.243505285,-0.495919093,1.652323533,-0.277863842,-0.273603544,0.295756254,-1.177290187,0.54870234,0.317569432,1.434494372,-0.785801695,1.184160584,-0.696643828,0.871788852,0.787882747,-0.510473608,0.408836157,-0.183578366,0.081412298,1.001487963,1.51953754,0.248857583,1.218926883,1.502891326,0.044500377,1.239046413,-0.21630248
