,LF1,LF2,LF3,LF4,LF5,LF6,LF7,LF8,LF9,LF10
ADRBK2,0.230108458033517,5.07252593513868e-05,0.270703611632032,0.000152373460301966,0.0174105088381035,0.124957545943057,0.0192052159582169,0.105886675190413,0.000265890368867672,0.0296233603703803
ADSL,0.154712490272158,0.000274448318939408,0.00507648806809768,0.000554316173098777,0.00595964938655247,0.0149506035921916,0.185934776398052,0.0978562395360635,0.00112940103311594,0.0703229273099372
ADSS,0.0462899589670428,7.87352200097121e-05,0.00281662401237784,0.000541441277623079,0.00544190672881792,0.0998465226190383,0.112573515280529,0.207123560868917,0.000407341953276579,0.0153448474583375
AP2A1,0.0193890705874911,0.000137330642388761,0.000764494016769309,4.88222575086243e-05,0.109065100725816,0.0096796794600675,0.0661363570358113,0.00999240429614911,0.000216968742393633,0.0473469868363135
AP1B1,0.0225941438946842,8.20731728663074e-05,0.111781881436657,0.000481570674346521,0.0498340759726942,0.0687989882004659,0.0779035275853416,0.0632138046447982,0.000681161047433953,0.180847398378487
AP2B1,0.23802407513954,0.000295645389643955,0.00819466175870459,7.56929970947702e-05,0.0254040981756085,0.0194547323165325,0.00520444612044541,0.320438064190209,0.000602926388870524,0.0609436963636214
AP1G1,0.0171961493675523,0.000154176437228757,0.0021206066699538,0.000137057526316039,0.00893250659799797,0.0262396636123384,0.0684154670132838,0.243922473250602,0.000384727497646759,0.00013657139729769
AEBP1,0.00916499592191825,1.06480096082948e-05,0.00288288252325252,2.79226530674403e-05,0.87040190776669,0.206948506228513,0.621900411153597,0.176137319638664,3.8092201749623e-05,0.201365852627998
AES,0.0887173290240274,2.54771204892311e-05,0.000811148770458306,3.80152550679823e-05,0.0471291515726936,0.0446490628724282,0.00228496758649127,0.227877144714043,0.000493992592634516,0.124670926046448
AFG3L1P,0.13889776866423,0.000116548363714677,0.00246406524765884,0.000381308985287088,0.018093960574943,0.0226293176652993,0.176401600759915,0.0330648028613263,0.000424027483722801,0.35207373840605
AGA,0.149975931905056,2.17629808589708e-05,0.0133318311811212,0.000177953900625383,0.00550047159007484,0.0519116344591271,0.0615907830185015,0.0210656806853849,1.56956121039966e-05,0.071139635130669
ACAN,0.127607425650409,9.52528792665083e-07,0.162247631048149,0.000218555584774807,0.00848101942013264,0.00581200394805365,0.156055400284677,0.189824825781178,0.000231075928303942,0.0726788472601261
JAG1,0.00917600220226209,6.75355548152988e-05,0.000784941083083035,0.000110585651609362,0.0684475527081422,0.0618490470282344,0.178230820353644,0.0164389355614236,0.000375518594208854,0.0333363404297726
AGT,0.0429602388204678,6.2856760162542e-05,0.0917235881720155,2.94478989703623e-05,0.0224032291564262,0.00186026763829242,0.0723458829571923,0.0437495652280959,0.000152743850919179,0.029721119175093
AGTR1,0.671739139792893,2.79207275411605e-06,0.14676266451861,4.8015109497037e-05,0.184631827607989,0.205011972274066,0.0493858967969021,0.0795274142171359,0.00011812400295132,0.0251591384096211
APLNR,0.0657810787715417,0.000124797006580664,0.193194023497034,0.000210730733652193,0.0734796269949855,0.00926670893654702,0.384183530985368,0.0589186893437075,1.75949625598294e-05,0.00233429116993172
AHCY,0.015933758831349,6.27935312668241e-05,0.00379700782514054,0.000295097848756231,0.0112378993944429,0.0279777215153207,0.258624604052766,0.0541303671890544,0.000315342618174652,0.0547924309991745
AHR,0.068030930704789,0.000224609666565757,0.2748669068958,0.000195539807386014,0.0448844296858469,0.000790231795747376,0.271604733257051,0.104157405606808,0.000171499070321864,0.165355473149902
AIM1,0.0820777101184485,1.45383179896347e-05,0.158266443917381,0.0001851088409867,0.364234114054466,0.0875870714296076,0.0998519764946298,0.226058731606802,0.000100052929986268,0.0686908896919055
AK1,0.151636026629887,0.000174846663649133,0.0042184337439571,0.000216011312777488,0.00806608514328223,0.0114000170469005,0.0415407371114845,0.147579119101063,0.000756989979376075,0.0218118031075156
AK2,0.064494439127017,0.000119398415286042,0.00342867621769412,0.00028640225931153,0.00190141425744236,0.099051217107568,0.114973999711834,0.118923211540636,0.000164940709236965,0.0514672696581713
AK4,0.200158623071671,9.51215026498048e-05,0.0384969617749561,0.000100476982854088,0.00833373671209863,0.000835084169547518,0.00801317523919436,0.0567115383334764,4.2371742178342e-05,0.0328070872050431
AKT1,0.00196371939172125,2.9114281643427e-05,0.007243547800291,1.43877002678889e-05,0.00136034957795123,0.385892764695179,0.0148954866990455,0.000430585286989563,0.000474771251951975,0.00806923739013881
AKT2,0.0296073475440838,0.000163335288499228,0.00160386015991487,0.000311990042917888,0.0314333234443357,0.178338857732338,0.130730939647215,0.0638680684612433,0.00013133080512002,0.02773934051974
ALAD,0.17742806015313,0.000106844954797816,0.000159879813778576,0.000428869641874895,0.0563707434291494,0.00332764079362506,0.141270802955192,0.0472898316184017,0.000140466247861487,0.0185701966163165
ALAS1,0.0170427857719658,9.3938855619935e-05,0.139357952521816,0.000352488550996494,0.00141779128460183,0.038362753938439,0.197392041777162,0.0436142693926072,0.000153648061544337,0.10740894346249
ALB,0.145465195313742,5.22686905468732e-06,0.0216616874457757,0.00011572233028555,0.0706922727290795,0.00112552981087539,0.0586383492933978,0.0195610357787318,4.38887761281343e-05,0.0580780170045323
ALCAM,0.592451330649946,4.96447673293676e-05,0.00942533701435444,7.56057858743287e-05,0.010864485599795,0.328106283623821,0.0928468842302383,0.0617287857980528,0.000100886504648389,0.169024205281984
ABCD1,0.164814668285288,4.97616829360247e-05,0.0192204803585417,0.000319723687558524,0.0249394312906213,0.19548044935269,0.0349511782468958,0.0754234347685542,0.000268338841622608,0.0740562271845786
ALDH1A1,0.0445077110569001,4.317957927115e-05,0.585874119298773,0.000234215877179128,0.0259890509080449,0.0163414160881205,0.314485663795566,0.00478106693628728,7.42784268192967e-05,0.0280234718355444
ALDH2,0.0193600131475672,1.48446778201764e-05,0.377613239282272,0.000106926290313381,0.0934368652920117,0.0207205823735595,0.147007149799711,0.0213388348782842,0.00018248824209866,0.0336614678225733
ALDH1B1,0.139623315136027,0.000133998705915069,0.000242967332422638,0.000380637603379618,0.422078516332143,0.117315152725471,0.0580149794889011,0.0473017607903778,0.000259900585568628,0.258443529799084
ALDH1A3,0.561620601299946,3.87302653761694e-05,0.063587780835164,1.92842622916383e-05,0.00120447345208115,0.0427598953517375,0.478475502867417,0.128911929506844,6.54950184039323e-07,0.0420198970939945
ALDH3B1,0.029564961764179,1.45447505248713e-05,0.101465261660658,6.38903707851703e-05,0.00800872717772438,0.0273174281945879,0.0728059840958006,0.00617163284797288,8.83918279463449e-05,0.0982752470319563
ALDH3B2,0.309258498621062,4.14176793660528e-06,0.0165824989564213,5.53794052864993e-06,0.130453574422976,0.341840984324774,0.108798075234095,0.0457214852563679,7.27980313661361e-05,0.00667712969743597
ALDH9A1,0.0291419286220378,0.000100122657807775,0.0376085718891838,0.000358542838422667,0.162972205189626,0.00829430559270387,0.0528785871457078,0.0961235788827945,0.000158495942759218,0.0495339459183906
ALDH3A2,0.349826794112623,0.000117678396568147,0.0104950864699474,0.000142107261654755,0.0218475046333448,0.384598060451469,0.0175358449473913,0.193013776868762,0.000170158476111347,0.0563607548007597
ALDOA,0.27969931521509,1.66631636267468e-05,0.0489129734241124,0.000126563792309371,0.000843902737813418,0.192658247140037,0.197073043143452,0.12088996130437,0.000100001962543944,0.148737773900616
ALDOC,0.0184437033922135,7.2107690992827e-05,0.00259343588099737,0.000162507896388908,0.00663929871938449,0.055935103909307,0.0699765706941222,0.0786802852483882,9.50334273243933e-05,0.0068922822972967
AKR1B1,0.344686694211115,0.000102956004303038,0.310866211647252,0.000102226878121558,0.0800229883177325,0.167715093429747,0.188674681399995,0.0517442858548482,0.000144353102950146,0.0352501369657137
ALOX12,0.114089995476037,0.000148986847379278,0.101846430678879,0.000727102890703328,0.00101115559928605,0.16813038149258,0.0191722824503118,0.0798441956236254,0.000206982132095314,0.136184418775739
ALOX5,0.037726125780034,0.000174851885113483,0.570567952144427,0.000129737660233283,0.0385852481727535,0.194709656666668,0.245304732629371,0.0824224077209982,0.000147961792531525,0.162304712979813
ALOX5AP,0.0178753229036489,1.23600884346727e-05,0.535528220247639,0.00038194678991185,0.205882381458987,0.23745487700734,0.197401876324267,0.131921753694148,9.41607690336324e-05,0.270303723314036
ALOX15,0.180287135063573,4.08115853796882e-05,0.00158498410371124,0.000199166665830158,0.0186882515267494,0.0860839370912569,0.0491031780549964,0.136850037926114,0.000171915673118184,0.130526146536999
ALOX15B,0.0487076197675771,3.37988889268734e-05,0.02223270359422,2.79912595683964e-05,0.134448025317067,0.034366235889182,0.104037530590514,0.0542296924447145,3.99858753473605e-05,0.00703149122151752
ALPL,0.140391958150884,3.05815627046187e-06,0.234155825378848,0.00020196847973135,0.183199839873628,0.135905219167591,0.052796797053778,0.108955700868075,0.000233205086038827,0.140592058516472
AMD1,0.458752696080067,4.94470775713324e-05,0.0281111408139844,0.000241833069999578,0.00275259702408583,0.0182488146640968,0.196914803925144,0.0981364887820537,2.27206588100219e-06,0.00395285815410658
AMFR,0.243380748979301,0.00013435624974645,0.0312054067999649,0.00020694598193527,0.00509176863146088,0.0673922787106447,0.12270188816379,0.0920466805386775,1.16289830926328e-05,0.0511040403772862
AMPD2,0.240344341590154,0.000280828198376618,0.00228139246656491,0.000420427787583452,0.139510647050221,0.136467074319228,0.00603646561069103,0.00975463424889175,0.000286795297736063,0.0164340519547751
AMPD3,0.00108535199937512,9.20114401268132e-06,0.366702626134257,0.000552787031911268,0.0139741849945819,0.170471435085841,0.0379059143453617,0.15977463611752,7.98664679699914e-05,0.0457193313158189
AMPH,0.220755885030928,8.97139907724434e-05,0.00856450081388138,4.39916274738443e-05,0.0476333766879353,0.0191344340091222,0.369630830286947,0.194937715624733,0.000150808244947207,0.0901672839870727
BIN1,0.112221015931097,4.02719263001383e-05,0.431514320404845,0.000119904706311706,0.154333523680309,0.022353125377661,0.0289658953154235,0.16958226411275,0.00014694036472214,0.0116421367716317
AMT,0.0417449266117018,7.47676862894822e-05,0.0204309391434331,0.000321662957661939,0.00155777643670126,0.170095556676484,0.03987278043404,0.0334177794990779,0.000101640272146856,0.411159181455958
AMY2B,0.0638751814406283,0.000109349473828642,0.000955610670646207,4.6116995396918e-06,0.0755678018007458,0.0920622286035042,0.0464077137499722,0.0126233846868984,7.86858853273335e-06,0.399623854945521
ANG,0.356782895968281,2.86055829327148e-05,0.00662715193786226,0.00028490418710865,0.0698692792225554,0.149488561977325,0.069214363399547,0.137070889408775,0.000170259337100727,0.0145134952145861
ANGPT1,0.178740130792733,0.000102670513989515,0.0838126892386279,0.000362320008057907,0.00251442405361005,0.0377816092435075,0.227810980568462,0.00773255671056545,0.000531179146487011,0.0194622744203321
ANGPT2,0.00329539876171302,2.52938476662969e-05,0.0258442037519982,0.000136631842421122,0.0116801865152383,0.0393537486180036,0.196327991647882,0.164529509193585,0.000119526198531031,0.0231071542834448
ANK2,0.016498496656201,0.000176557139697898,0.254167513478531,0.000302580065657846,0.0175323170643483,0.0971919400732791,0.244567575949868,0.0999085561247733,0.000112762472288718,0.0258646624975614
ANK3,0.0234363731545283,7.57752204968147e-05,0.0178449720722222,3.9532045545452e-06,0.0115626609942072,0.000337368003038916,0.0633899607077358,0.270296527560985,0.000105738449986597,0.014289177305336
ANPEP,0.0303848335614666,2.57029053792984e-05,0.00213545313473745,0.000145233750998942,0.0327395393599009,0.154200670880519,0.133220855284099,0.18905642436838,0.000118847946164121,0.011867640488222
SLC25A4,0.0198419991811018,2.64670893931382e-05,0.0308572007602324,0.00019597312901819,0.0132977903944899,0.000649040916889696,0.0370629645050335,0.0468164289303352,6.09973896679645e-05,0.0381521903957929
